RacketId;Prezzo;Sesso;ImageLink;ColoreUno;ColoreDue;Profilo;Lunghezza;Peso;NumeroArticolo;PuntoDiEquilibrio;TipoDiGioco;TipoDiProdotto;Telaio;Nucleo;LivelloDiGioco;Forma;Eta;Bilanciamento;Anno;Url;Marca;Modello;VecchioPrezzo
651;179;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-21762-3286906e-23338-NORMAL.jpg;rosso;NULL;0;NULL;NULL;NULL;0;" POTENZA";NULL;" CARBONIO";" GOMMA EVA MORBIDA.";" AVANZATO";" DIAMANTE";NULL;" ALTO";"                                                     ";https://www.padelnuestro.com/it/adidas-metalbone-p-23338.html;adidas;NULL;360
652;178,95;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-25409-87bfe8f0-26419-NORMAL.jpg;vari;NULL;0;NULL;NULL;NULL;0;" POLIVALENTE";NULL;" FIBRA DI CARBONIO";" GOMMA EVA";" AVANZATO";" ";NULL;" ";" 2022                                                    ";https://www.padelnuestro.com/it/nox-at-genius-attack-18k-2022-p-26419.html;nox;NULL;329
653;178,95;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-28180-bd4a0ed4-28714-NORMAL.jpg;nero;rosso;0;NULL;NULL;NULL;0;" POTENZA";NULL;NULL;" POLIETILENE";" AVANZATO";" ROTONDA";NULL;" MEDIO";" 2022                                                    ";https://www.padelnuestro.com/it/royal-padel-whip-extreme-p-28714.html;royal;NULL;300
654;178;Unisex;https://www.padelnuestro.com/images/cargador/productos/imagen-1-30961-d28caa3e-31042-NORMAL.jpg;giallo;NULL;0;NULL;NULL;NULL;0;" CONTROLLO";NULL;" CARBONIO";" GOMMA EVA MEDIA";" AVANZATO";" ROTONDA";NULL;" ALTO";" 2022                                                    ";https://www.padelnuestro.com/it/softee-k3-tour-70-p-31042.html;softee;NULL;198
655;176,95;NULL;https://www.padelnuestro.com/images/cargador/productos/imagen-1-106474-08571af9-35153-NORMAL.jpg;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;https://www.padelnuestro.com/it/varlion-lw-carbon-ti-2023-p-35153.html;varlion;NULL;195,99
656;176,95;NULL;https://www.padelnuestro.com/images/cargador/productos/imagen-1-106473-827eb354-35152-NORMAL.jpg;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;https://www.padelnuestro.com/it/varlion-lw-carbon-ti-magnolia-2023-p-35152.html;varlion;NULL;195,99
657;174,95;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-13415-a6cf6792-22618-NORMAL.jpg;violetto;NULL;0;NULL;NULL;NULL;0;" CONTROLLO";NULL;" FIBRA DI VETRO";" GOMMA EVA MORBIDA.";" AVANZATO";" ROTONDA";NULL;" BASSO";"                                                     ";https://www.padelnuestro.com/it/ares-spear-p-22618.html;ares;NULL;250
658;174,95;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-21168-4ad5d57f-22612-NORMAL.jpg;nero;rosa;0;NULL;NULL;NULL;0;" POTENZA";NULL;" CARBONIO KEVLAR";" GOMMA EVA";" AVANZATO";" DIAMANTE";NULL;" ALTO";"                                                     ";https://www.padelnuestro.com/it/ares-darkness-p-22612.html;ares;NULL;250
659;174,95;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-17106-a9787b76-16900-NORMAL.jpg;oro;NULL;0;NULL;NULL;NULL;0;" POLIVALENTE";NULL;" CARBONIO";" GOMMA EVA ULTRA SOFT";" AVANZATO";" ROTONDA";NULL;" MEDIO";" 2019                                                    ";https://www.padelnuestro.com/it/akkeron-oro-r-x9-p-16900.html;akkeron;NULL;250
660;174,95;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-23642-43fe828a-27531-NORMAL.jpg;nero;rosso;0;NULL;NULL;NULL;0;" POTENZA";NULL;" FIBRA DI CARBONIO";" GOMMA BLACK EVA";" AVANZATO";" DIAMANTE";NULL;" ";" 2022                                                    ";https://www.padelnuestro.com/it/jhayber-attack-sh12k-2022-p-27531.html;jhayber;NULL;270
